fuel_frac,fuel_percent,fuel_mass_kg,a0,cl_max,cd_cl_max,eta,CL_max,CD_max,W0_N,m0_kg,V_to_mps,V_to_kts,L_N,D_N,T_to_N,x_to_m,x_to_ft,runway_ok,t_to_s,mf_rate_to,mf_total_to,W_to_N
0.153,15.3,39321,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3102049.33465,316321,103.467739603085,201.124730950061,4466951.041896,356793.69574236,622751.026142,4026.39449077768,13209.956101123,0,38.9144916688374,8.81985163888889,343.220043121923,3098683.49581412
0.152,15.2,39064,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3099529.0256,316064,103.42569906138,201.043010863473,4463321.796864,356503.813060509,622751.026142,4018.28456191817,13183.3487221236,0,38.851896563285,8.81985163888889,342.667963577631,3096168.60081498
0.151,15.1,38807,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3097008.71655,315807,103.383641424059,200.961257545743,4459692.551832,356213.930378658,622751.026142,4010.18627681964,13156.7795444409,0,38.7893695905975,8.81985163888889,342.116484955098,3093653.69992281
0.15,15,38550,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3094488.4075,315550,103.34156667025,200.879470956299,4456063.3068,355924.047696807,622751.026142,4002.09962185017,13130.2485233509,0,38.72691067884,8.81985163888889,341.56560661987,3091138.79314384
0.149,14.9,38293,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3091968.09845,315293,103.299474779038,200.797651054485,4452434.061768,355634.165014956,622751.026142,3994.02458339913,13103.7556141992,0,38.6645197561993,8.81985163888889,341.015327938566,3088623.88048427
0.148,14.8,38036,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3089447.7894,315036,103.257365729465,200.715797799563,4448804.816736,355344.282333105,622751.026142,3985.96114787711,13077.3007724011,0,38.6021967509839,8.81985163888889,340.465648278877,3086108.96195031
0.147,14.7,37779,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3086927.48035,314779,103.21523950053,200.633911150711,4445175.571704,355054.399651254,622751.026142,3977.90930171589,13050.8839534416,0,38.5399415916238,8.81985163888889,339.916567009565,3083594.03754814
0.146,14.6,37522,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3084407.1713,314522,103.173096071191,200.551991067023,4441546.326672,354764.516969403,622751.026142,3969.8690313684,13024.5051128747,0,38.4777542066697,8.81985163888889,339.36808350046,3081079.10728394
0.145,14.5,37265,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3081886.86225,314265,103.13093542036,200.470037507513,4437917.08164,354474.634287552,622751.026142,3961.84032330866,12998.164206324,1,38.4156345247937,8.81985163888889,338.820197122459,3078564.17116389
0.144,14.4,37008,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3079366.5532,314008,103.088757526909,200.388050431107,4434287.836608,354184.751605701,622751.026142,3953.82316403177,12971.861189482,1,38.3535824747885,8.81985163888889,338.272907247523,3076049.22919414
0.143,14.3,36751,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3076846.24415,313751,103.046562369665,200.306029796649,4430658.591576,353894.86892385,622751.026142,3945.81754005386,12945.5960181103,1,38.2915979855671,8.81985163888889,337.726213248678,3073534.28138084
0.142,14.2,36494,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3074325.9351,313494,103.004349927411,200.223975562898,4427029.346544,353604.986241999,622751.026142,3937.82343791202,12919.3686480393,1,38.229680986163,8.81985163888889,337.18011450001,3071019.32773014
0.141,14.1,36237,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3071805.62605,313237,102.962120178888,200.14188768853,4423400.101512,353315.103560148,622751.026142,3929.84084416431,12893.179035168,1,38.1678314057299,8.81985163888889,336.634610376662,3068504.36824815
0.14,14,35980,6.5720534961737,1.5756,0.03355,0.782724377309505,0.822173685925904,0.0656703834880426,3069285.317,312980,102.919873102794,200.059766132135,4419770.85648,353025.220878297,622751.026142,3921.86974538966,12867.0271354642,1,38.106049173541,8.81985163888889,336.089700254836,3065989.402941
